WIX PN;MARCA;MODELO
59006;CHERY;ORINOCO 1.8L AÑO 2012 A 2013
51372;FORD;CROWN VICTORIA V8 4.6L
51372;FORD;DELREY
51372;FORD;ESCAPE V6 3.0L
51372;FORD;EXPEDITION V8 5.4L
51372;FORD;EXPLORER V6 4.0L (01-05)
51372;FORD;EXPLORER V6 4.6L (04-08)
51372;FORD;SPORTTRAC (04-08)
51372;FORD;F-150 V8 5.4L
51372;FORD;F-150 (02-08)
51372;FORD;F-150 V6 4.2L (06-08)
51372;FORD;F-350 V8 5.8L(94-99)
51372;FORD;FUSION V6 3.0L
51372;FORD;GRANMARQUIZ V8 4.6L
51372;FORD;MUSTANG V8 4.6L
51372;FORD;MUSTANG V8 5.4L
51372;FORD;MUSTANG V6 4.0L
51372;FORD;RANGER V6 4.0L (01-04)
51372;FORD;TAURUS V6 3.0L (97-04)
51372;MAZDA;B-4000 V6 4.0L (02-04)
51516;CHRYSLER;PTCRUISER (03-07)
51516;CHRYSLER;PICK-UP 1500,2500,3500 L6 3.7L (03)
51516;FORD;AEROSTAR ECOSPORT1.6L Y 2.0L
51516;FORD;F-150 V6 4.2L (97-06)
51516;FORD;FOCUS (01-06)
51516;FORD;PROBE V6 3.0L
51516;FORD;RANGER 2.5L (97-03)
51516;FORD;TAURUS V6 3.0L (91-97)
51516;FORD;THUNDERBIRD 3.8L
51516;FORD;WINDSTAR V6 3.8L
51516;GREATWALL;GREATWALL SAFE 2.8L / DEER 2.8L / SAILOR 2.8L
51516;FORD;FIESTAMOVE
51334;CHEVROLET;LUV D-MAX V6 3.5L (2006-2014)
51334;HONDA;HONDA (TODOS)
51334;HYUNDAI;HYUNDAI (TODOS)
51334;ALFA ROMEO;ALFAROMEO (TODOS)
51334;SUBARU;SUBARU (TODOS)
51334;DODGE;BRISA
51334;DODGE;STEALTH (PF1230)
51334;KIA;OPIRUS 6V 3.5LT (04-05)
51334;KIA;OPTIMA 4L 2.4LT (01-06) 6V 2.7LT (02-06)
51334;KIA;SEDONA EX 6V 3.5LT (03-06)
51334;KIA;SORENTO EX 6V 3.5LT (03-06)
51334;KIA;SPORTAGE 4L 2LT Y 6V 2.7LT (05-06)
59915;TOYOTA;4RUNNER V6 4.0L DOHC 24 VVVT-I YV84.7 DOHC 32VVVT-I (03-08)
59915;TOYOTA;FJ70 FZJ71YFZJ79 (MACHO) 6L 4.5LIN
59915;TOYOTA;JEC (2000-08)
59915;TOYOTA;FORTUNER V6 4.0L DOHC 24VVVT-I (06-09)
59915;TOYOTA;HILUX 4L 2.4LT SINJECTION (2000-05)
59915;TOYOTA;HILUX KAVAK 6V 4LTS DOHC24VVVT-I (06-09)
59915;TOYOTA;LANDCRUISER 4500 VX 6L 4.5LTS 1FZ-FE (2000-07)
951008;RENAULT;LOGAN, LOGAN EXPRESION, DYNAMIQUE 1.6LTS (TODOS)
